.Alaska,AK,738432,23263,
.Alabama,AL,4858979,1251311,
.Arkansas,AR,2978204,449895,
.Arizona,AZ,6828065,259008,
.California,CA,39144818,2299072,
.Colorado,CO,5456574,362296,
.Connecticut,CT,3590886,201737,
.District of Columbia,DC,672228,305074,
.Delaware,DE,945934,191814,
.Florida,FL,20271272,2999862,
.Georgia,GA,10214860,3150435,
.Hawaii,HI,1431603,21424,
.Iowa,IA,3123899,89148,
.Idaho,ID,1654930,9810,
.Illinois,IL,12859995,1866414,
.Indiana,IN,6619680,591397,
.Kansas,KS,2911641,167864,
.Kentucky,KY,4425092,361273,
.Louisiana,LA,4670724,1506534,
.Massachusetts,MA,6794422,528761,
.Maryland,MD,6006401,1798593,
.Maine,ME,1329328,15707,
.Michigan,MI,9922576,1400362,
.Minnesota,MN,5489594,274412,
.Missouri,MO,6083672,704043,
.Mississippi,MS,2992333,1074200,
.Montana,MT,1032949,4027,
.North Carolina,NC,10042802,2048628,
.North Dakota,ND,756927,7960,
.Nebraska,NE,1896190,82885,
.New Hampshire,NH,1330608,15035,
.New Jersey,NJ,8958013,1204826,
.New Mexico,NM,2085109,42550,
.Nevada,NV,2890845,255633,
.New York,NY,19795791,3073800,
.Ohio,OH,11613423,1407681,
.Oklahoma,OK,3911338,277644,
.Oregon,OR,4028977,69206,
.Pennsylvania,PA,12802503,1377689,
.Rhode Island,RI,1056298,79719,
.South Carolina,SC,4896146,1290684,
.South Dakota,SD,858469,10207,
.Tennessee,TN,6600299,1055689,
.Texas,TX,27469114,2979598,
.Utah,UT,2995919,29287,
.Virginia,VA,8382993,1551399,
.Vermont,VT,626042,6277,
.Washington,WA,7170351,240042,
.Wisconsin,WI,5771337,359148,
.West Virginia,WV,1844128,63124,
.Wyoming,WY,586107,4748,